path,relative_path,group,filename,extension,width,height,orientation,megapixels,entropy,contrast,luminance,bytes
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_25.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_25.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_25.jpg,.jpg,1080,1440,portrait,1.56,7.015,36.676,121.862,427424
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_26.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_26.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_26.jpg,.jpg,1080,1440,portrait,1.56,7.004,36.771,127.827,432317
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133417791.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133417791.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133417791.jpg,.jpg,810,1440,portrait,1.17,7.256,41.144,120.266,400471
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133417791_01.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133417791_01.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133417791_01.jpg,.jpg,810,1440,portrait,1.17,7.302,42.159,122.577,408195
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133444949.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133444949.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133444949.jpg,.jpg,1080,1440,portrait,1.56,7.031,37.727,120.783,406315
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133444949_01.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133444949_01.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133444949_01.jpg,.jpg,1080,1440,portrait,1.56,7.035,40.69,131.703,466028
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133444949_02.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133444949_02.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133444949_02.jpg,.jpg,1080,1440,portrait,1.56,7.005,38.883,136.369,473650
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133444949_03.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133444949_03.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133444949_03.jpg,.jpg,1080,1440,portrait,1.56,7.048,38.982,127.923,473690
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133444949_04.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133444949_04.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133444949_04.jpg,.jpg,1080,1440,portrait,1.56,7.075,39.642,129.531,444805
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133444949_05.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133444949_05.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133444949_05.jpg,.jpg,1080,1440,portrait,1.56,7.115,40.393,118.919,476639
